match_played,player_id,player_name,position_id,position_name,rank,season,stat,tackles,team_full_name,team_id,team_name,value
121,123,Vishal Mane,7.0,"Defender, right cover",51,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,191.0
53,174,Deepak Kumar Dahiya,8.0,Raider,53,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,189.0
65,66,Mahesh Goud,8.0,Raider,53,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,189.0
48,119,CPO Surjeet Singh,8.0,Raider,55,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,184.0
50,389,Ajay Kumar,8.0,Raider,56,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,183.0
66,252,Kuldeep Singh,1.0,All Rounder,57,All Seasons,Player Total Points,,Patna Pirates,6,PAT,182.0
66,368,Sunil Kumar,9.0,Defender,58,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,179.0
38,92,Ravi Dalal,8.0,Raider,58,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,179.0
31,118,Surjeet Narwal,8.0,Raider,60,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,174.0
37,75,Nitin Madane,8.0,Raider,61,All Seasons,Player Total Points,,U Mumba,5,MUM,173.0
64,579,Jaideep,3.0,"Defender, left corner",62,All Seasons,Player Total Points,,Patna Pirates,6,PAT,172.0
72,357,Parvesh Bhainswal,4.0,"Defender, left cover",63,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,171.0
55,745,Vijay,1.0,All Rounder,64,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,170.0
76,194,Joginder Singh Narwal,3.0,"Defender, left corner",65,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,169.0
60,769,Mahender Singh,4.0,"Defender, left cover",66,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,165.0
42,791,Nitin Rawal,1.0,All Rounder,67,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,163.0
60,733,Surinder Singh,9.0,Defender,68,All Seasons,Player Total Points,,U Mumba,5,MUM,162.0
42,772,More GB,8.0,Raider,69,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,158.0
71,107,Shrikant Tewthia,1.0,All Rounder,70,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,157.0
82,202,Ashish Kumar,1.0,All Rounder,71,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,156.0
55,264,Selvamani K,8.0,Raider,72,All Seasons,Player Total Points,,Haryana Steelers,28,HS,155.0
33,2357,Naveen,8.0,Raider,72,All Seasons,Player Total Points,,Haryana Steelers,28,HS,155.0
60,489,Abozar Mohajermighani,9.0,Defender,74,All Seasons,Player Total Points,,Telugu Titans,8,HYD,153.0
69,73,Nilesh Shinde,6.0,"Defender, right corner",74,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,153.0
47,300,Abolfazl Maghsodloumahali,8.0,Raider,76,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,152.0
88,240,Ravi Kumar,7.0,"Defender, right cover",77,All Seasons,Player Total Points,,Haryana Steelers,28,HS,145.0
48,234,Surender Singh,8.0,Raider,77,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,145.0
49,795,Monu,8.0,Raider,79,All Seasons,Player Total Points,,Patna Pirates,6,PAT,142.0
29,2028,Abhishek Singh,8.0,Raider,80,All Seasons,Player Total Points,,U Mumba,5,MUM,141.0
53,242,Tushar Patil,8.0,Raider,81,All Seasons,Player Total Points,,Patna Pirates,6,PAT,139.0
33,190,Sonu Narwal,8.0,Raider,82,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,138.0
82,96,Rohit Rana,4.0,"Defender, left cover",82,All Seasons,Player Total Points,,U Mumba,5,MUM,138.0
38,141,Sunil Jaipal,8.0,Raider,84,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,125.0
75,165,Sachin Shingade,4.0,"Defender, left cover",85,All Seasons,Player Total Points,,Haryana Steelers,28,HS,119.0
55,482,Farhad Rahimi Milaghardan,1.0,All Rounder,86,All Seasons,Player Total Points,,Telugu Titans,8,HYD,118.0
52,51,Jasmer Singh Gulia,1.0,All Rounder,87,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,116.0
66,249,Hadi Oshtorak,1.0,All Rounder,88,All Seasons,Player Total Points,,Patna Pirates,6,PAT,112.0
45,567,Mohsen Maghsoudloujafari,1.0,All Rounder,89,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,110.0
63,207,Sunil,3.0,"Defender, left corner",90,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,109.0
84,191,C. Arun,4.0,"Defender, left cover",91,All Seasons,Player Total Points,,Telugu Titans,8,HYD,108.0
44,764,Vinod Kumar,1.0,All Rounder,92,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,106.0
59,162,D. Suresh Kumar,7.0,"Defender, right cover",93,All Seasons,Player Total Points,,U Mumba,5,MUM,103.0
45,46,Gurvinder Singh,8.0,Raider,94,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,100.0
35,376,Athul MS,8.0,Raider,94,All Seasons,Player Total Points,,U Mumba,5,MUM,100.0
38,217,Rohit Kumar Choudary,8.0,Raider,96,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,96.0
61,164,Bajirao Hodage,7.0,"Defender, right cover",97,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,95.0
36,324,Darshan Kadian,8.0,Raider,98,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,94.0
30,2475,Ajinkya Ashok Pawar,8.0,Raider,98,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,94.0
55,179,Vikas Kale,7.0,"Defender, right cover",100,All Seasons,Player Total Points,,Haryana Steelers,28,HS,92.0
34,67,Mahipal Narwal,1.0,All Rounder,101,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,87.0
61,109,Somvir Shekhar,7.0,"Defender, right cover",101,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,87.0
16,484,Mohammad Esmaeil Nabibakhsh,1.0,All Rounder,103,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,86.0
44,796,Rinku Narwal,9.0,Defender,104,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,85.0
52,70,Manoj Kumar,4.0,"Defender, left cover",105,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,84.0
47,34,Bhupender Singh,1.0,All Rounder,106,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,83.0
18,2024,Arjun Deshwal,8.0,Raider,107,All Seasons,Player Total Points,,U Mumba,5,MUM,82.0
35,2462,Sunil,6.0,"Defender, right corner",108,All Seasons,Player Total Points,,Haryana Steelers,28,HS,80.0
14,2661,Pankaj Mohite,8.0,Raider,108,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,80.0
46,218,Sachin Kumar,1.0,All Rounder,110,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,79.0
14,2508,V. Ajith Kumar,8.0,Raider,111,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,74.0
34,621,Baldev Singh,6.0,"Defender, right corner",112,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,72.0
43,121,Vikas Jaglan,1.0,All Rounder,113,All Seasons,Player Total Points,,Patna Pirates,6,PAT,71.0
35,794,Amit Sheoran,9.0,Defender,113,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,71.0
32,522,Dong Geon Lee,8.0,Raider,115,All Seasons,Player Total Points,,U Mumba,5,MUM,70.0
50,311,Anil Kumar,4.0,"Defender, left cover",115,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,70.0
16,248,Sandeep Kandola,3.0,"Defender, left corner",115,All Seasons,Player Total Points,,Telugu Titans,8,HYD,70.0
19,55,Jitesh Joshi,1.0,All Rounder,118,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,69.0
15,2488,Vinay,8.0,Raider,119,All Seasons,Player Total Points,,Haryana Steelers,28,HS,67.0
17,79,Pravin Niwale,8.0,Raider,120,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,64.0
44,390,Jawahar Dagar,9.0,Defender,120,All Seasons,Player Total Points,,Patna Pirates,6,PAT,64.0
39,613,Sunil Siddhgavali,9.0,Defender,122,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,63.0
57,347,Sagar B Krishna,1.0,All Rounder,122,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,63.0
34,732,Kuldeep Singh,9.0,Defender,122,All Seasons,Player Total Points,,Haryana Steelers,28,HS,63.0
39,268,Vineet Sharma,8.0,Raider,125,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,62.0
29,365,Akshay Jadhav,8.0,Raider,125,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,62.0
29,387,Vinod Kumar,8.0,Raider,127,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,61.0
35,28,Amit Singh Chhillar,3.0,"Defender, left corner",128,All Seasons,Player Total Points,,Telugu Titans,8,HYD,60.0
33,637,Neeraj Kumar,7.0,"Defender, right cover",129,All Seasons,Player Total Points,,Patna Pirates,6,PAT,59.0
41,147,Prashant Chavan,6.0,"Defender, right corner",130,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,57.0
45,84,Rajaguru Subramanian,7.0,"Defender, right cover",131,All Seasons,Player Total Points,,U Mumba,5,MUM,55.0
16,2330,Sumit,3.0,"Defender, left corner",131,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,55.0
34,2023,Ruturaj Shivaji Koravi,9.0,Defender,133,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,54.0
29,363,Sumit Singh,8.0,Raider,133,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,54.0
27,108,Shyam Kumar Sah,4.0,"Defender, left cover",135,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,53.0
25,204,Rakesh Narwal,8.0,Raider,136,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,52.0
16,231,Amit Om Prakash Rathi,8.0,Raider,136,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,52.0
29,722,D. Pradap,1.0,All Rounder,138,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,51.0
34,152,D. Gopu,10.0,"Defender, right and left corner",138,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,51.0
22,98,Sachin Khambe,3.0,"Defender, left corner",138,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,51.0
49,158,Rakesh Singh Kumar,4.0,"Defender, left cover",141,All Seasons,Player Total Points,,Haryana Steelers,28,HS,50.0
35,150,Parmod Narwal,1.0,All Rounder,142,All Seasons,Player Total Points,,Haryana Steelers,28,HS,49.0
27,215,Vinod Kumar,4.0,"Defender, left cover",143,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,48.0
21,735,Vishal,1.0,All Rounder,143,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,48.0
13,2286,Surender Gill,8.0,Raider,143,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,48.0
29,724,Darshan J.,7.0,"Defender, right cover",146,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,47.0
17,370,Ravindra Ramesh Kumawat,8.0,Raider,146,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,47.0
26,576,Anand Patil,8.0,Raider,148,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,46.0
21,372,Harish Naik,8.0,Raider,149,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,45.0
21,245,Yogesh Hooda,8.0,Raider,149,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,45.0
58,167,Preetam Chhillar,1.0,All Rounder,149,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,45.0
12,115,Suraj Desai,8.0,Raider,149,All Seasons,Player Total Points,,Telugu Titans,8,HYD,45.0
23,56,Kalimuthu Balamahendran,3.0,"Defender, left corner",153,All Seasons,Player Total Points,,Telugu Titans,8,HYD,43.0
22,773,Satpal,6.0,"Defender, right corner",153,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,43.0
28,778,Narender,1.0,All Rounder,155,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,42.0
17,2291,Amit Kumar,8.0,Raider,155,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,42.0
36,44,Gangadhari Mallesh,8.0,Raider,157,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,41.0
20,61,Kuldeep Singh,3.0,"Defender, left corner",158,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,40.0
29,361,Sombir,9.0,Defender,158,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,40.0
15,2670,Saurabh Nandal,3.0,"Defender, left corner",158,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,40.0
26,232,Sachin Vittala,3.0,"Defender, left corner",161,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,39.0
40,728,Manish,7.0,"Defender, right cover",162,All Seasons,Player Total Points,,Patna Pirates,6,PAT,37.0
15,718,R. Sriram,8.0,Raider,163,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,36.0
28,676,Santhapanaselvam,1.0,All Rounder,163,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,36.0
16,571,Mohammad Esmaeil Maghsoudlou Mahalli,8.0,Raider,165,All Seasons,Player Total Points,,Patna Pirates,6,PAT,35.0
21,173,Suresu Kumar,8.0,Raider,165,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,35.0
14,762,Vikas Kumar,8.0,Raider,165,All Seasons,Player Total Points,,Telugu Titans,8,HYD,35.0
17,2476,Amit Kumar,8.0,Raider,168,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,33.0
28,578,Mayur Shivtarkar,1.0,All Rounder,168,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,33.0
34,536,Ziaur Rahman,4.0,"Defender, left cover",170,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,32.0
17,648,Ajit Singh,8.0,Raider,170,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,32.0
51,185,Vijin Thangadurai,7.0,"Defender, right cover",170,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,32.0
25,2463,Parveen,4.0,"Defender, left cover",170,All Seasons,Player Total Points,,Haryana Steelers,28,HS,32.0
11,2485,Sonu Jaglan,8.0,Raider,170,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,32.0
21,611,Sidharth,1.0,All Rounder,175,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,31.0
17,172,Vinoth Kumar,8.0,Raider,176,All Seasons,Player Total Points,,U Mumba,5,MUM,30.0
23,2479,Shubham Shinde,6.0,"Defender, right corner",176,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,30.0
19,665,Pankaj,1.0,All Rounder,178,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,29.0
13,309,Manpreet Singh,8.0,Raider,178,All Seasons,Player Total Points,,Patna Pirates,6,PAT,29.0
13,272,Umesh Mhatre,8.0,Raider,180,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,28.0
8,168,Mangesh Bhagat,8.0,Raider,180,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,28.0
18,45,Gurpreet Singh,6.0,"Defender, right corner",180,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,28.0
12,2316,Azad Singh,8.0,Raider,180,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,28.0
33,784,Viraj Vishnu Landge,4.0,"Defender, left cover",180,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,28.0
17,837,Rakshith,8.0,Raider,180,All Seasons,Player Total Points,,Telugu Titans,8,HYD,28.0
30,2020,Amit,4.0,"Defender, left cover",180,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,28.0
16,2657,Ashu Singh,7.0,"Defender, right cover",180,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,28.0
11,2290,Rajnish,8.0,Raider,188,All Seasons,Player Total Points,,Telugu Titans,8,HYD,27.0
17,20,Wasim Sajjad,6.0,"Defender, right corner",188,All Seasons,Player Total Points,,Telugu Titans,8,HYD,27.0
10,171,Pradeep Kumar,8.0,Raider,190,All Seasons,Player Total Points,,U Mumba,5,MUM,26.0
19,734,Vikash,6.0,"Defender, right corner",190,All Seasons,Player Total Points,,Haryana Steelers,28,HS,26.0
14,2492,Jadhav Balasaheb Shahaji,7.0,"Defender, right cover",190,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,26.0
19,386,Anil Kumar,3.0,"Defender, left corner",193,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,25.0
26,301,Hadi Tajik,6.0,"Defender, right corner",193,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,25.0
12,195,Ashish Chhokar,8.0,Raider,193,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,25.0
20,275,Deepak Kumar Rathee,1.0,All Rounder,196,All Seasons,Player Total Points,,Haryana Steelers,28,HS,24.0
27,233,Manoj Dhull,6.0,"Defender, right corner",196,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,24.0
10,2298,Armaan,1.0,All Rounder,196,All Seasons,Player Total Points,,Telugu Titans,8,HYD,24.0
12,371,Amit Nagar,8.0,Raider,199,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,23.0
36,519,Young Chang Ko,4.0,"Defender, left cover",199,All Seasons,Player Total Points,,U Mumba,5,MUM,23.0
22,87,Raju Lal Choudhary,6.0,"Defender, right corner",199,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,23.0
31,72,Navneet Gautam,3.0,"Defender, left corner",202,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,22.0
35,14,Tae Deok Eom,1.0,All Rounder,202,All Seasons,Player Total Points,,Patna Pirates,6,PAT,22.0
12,38,Dadaso Balaso Awad,1.0,All Rounder,202,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,22.0
22,159,Samarjeet Singh,1.0,All Rounder,202,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,22.0
16,314,Somvir,4.0,"Defender, left cover",202,All Seasons,Player Total Points,,Telugu Titans,8,HYD,22.0
30,288,Rahul Kumar,7.0,"Defender, right cover",202,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,22.0
11,771,Suresh Kumar,8.0,Raider,202,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,22.0
6,684,Rakesh Gowda,8.0,Raider,209,All Seasons,Player Total Points,,Telugu Titans,8,HYD,21.0
21,170,Swapnil Dilip Shinde,7.0,"Defender, right cover",209,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,21.0
8,166,Vijendar Singh,,,211,All Seasons,Player Total Points,,Telugu Titans,8,HYD,20.0
8,182,Dinesh Kumar,1.0,All Rounder,212,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,19.0
22,76,Nitin More,4.0,"Defender, left cover",212,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,19.0
15,97,Rupesh Tomar,1.0,All Rounder,212,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,19.0
6,277,Anil Shriram Nimbolkar,8.0,Raider,212,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,19.0
14,299,Sandeep,3.0,"Defender, left corner",212,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,19.0
11,89,Ram Kumar Sah,4.0,"Defender, left cover",217,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,18.0
16,2481,Ponparthiban Subramanian,7.0,"Defender, right cover",217,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,18.0
18,2470,Adarsh T,3.0,"Defender, left corner",219,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,17.0
10,2307,Kamal Singh,8.0,Raider,219,All Seasons,Player Total Points,,Telugu Titans,8,HYD,17.0
6,2498,Sushil Gulia,8.0,Raider,219,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,17.0
11,214,Amit Kumar,8.0,Raider,219,All Seasons,Player Total Points,,Telugu Titans,8,HYD,17.0
14,274,Krushna Madane,9.0,Defender,223,All Seasons,Player Total Points,,Telugu Titans,8,HYD,16.0
8,243,Sanjay Kumar,1.0,All Rounder,223,All Seasons,Player Total Points,,Patna Pirates,6,PAT,16.0
5,667,Elangeshwaran R,1.0,All Rounder,223,All Seasons,Player Total Points,,Telugu Titans,8,HYD,16.0
9,696,M. Thivakaran,8.0,Raider,223,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,16.0
11,391,S Mahalingam,1.0,All Rounder,223,All Seasons,Player Total Points,,Telugu Titans,8,HYD,16.0
10,2502,Mohit Sehrawat,7.0,"Defender, right cover",223,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,16.0
14,2672,Sumit Malik,3.0,"Defender, left corner",229,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,15.0
9,238,Isac Antony,8.0,Raider,229,All Seasons,Player Total Points,,Telugu Titans,8,HYD,15.0
7,313,Virender Wazir Singh,8.0,Raider,229,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,15.0
13,360,Sanket Chavan,3.0,"Defender, left corner",229,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,15.0
18,200,Mohammad Maghshoudulu,1.0,All Rounder,229,All Seasons,Player Total Points,,Patna Pirates,6,PAT,15.0
