match_played,rank,team_id,team_name,value,stat,season
16,6,7,Puneri Paltan,500.0,Team Total Points,Season 7
16,7,3,Jaipur Pink Panthers,484.0,Team Total Points,Season 7
16,8,29,Tamil Thalaivas,467.0,Team Total Points,Season 7
16,9,31,Gujarat Fortunegiants,465.0,Team Total Points,Season 7
15,10,5,U Mumba,459.0,Team Total Points,Season 7
15,11,30,U.P. Yoddha,436.0,Team Total Points,Season 7
15,12,8,Telugu Titans,432.0,Team Total Points,Season 7
16,1,7,Puneri Paltan,546.0,Team Total Points Conceded,Season 7
16,2,29,Tamil Thalaivas,531.0,Team Total Points Conceded,Season 7
16,3,1,Bengaluru Bulls,530.0,Team Total Points Conceded,Season 7
16,4,6,Patna Pirates,517.0,Team Total Points Conceded,Season 7
16,5,2,Dabang Delhi K.C.,499.0,Team Total Points Conceded,Season 7
16,6,3,Jaipur Pink Panthers,490.0,Team Total Points Conceded,Season 7
15,6,8,Telugu Titans,490.0,Team Total Points Conceded,Season 7
15,8,30,U.P. Yoddha,479.0,Team Total Points Conceded,Season 7
16,9,4,Bengal Warriors,475.0,Team Total Points Conceded,Season 7
16,10,31,Gujarat Fortunegiants,473.0,Team Total Points Conceded,Season 7
15,11,28,Haryana Steelers,470.0,Team Total Points Conceded,Season 7
15,12,5,U Mumba,433.0,Team Total Points Conceded,Season 7
16,1,1,Bengaluru Bulls,30.37,Team Avg Points Scored,Season 7
16,2,2,Dabang Delhi K.C.,29.81,Team Avg Points Scored,Season 7
15,3,28,Haryana Steelers,29.73,Team Avg Points Scored,Season 7
16,4,4,Bengal Warriors,29.56,Team Avg Points Scored,Season 7
16,5,6,Patna Pirates,28.56,Team Avg Points Scored,Season 7
16,6,7,Puneri Paltan,28.37,Team Avg Points Scored,Season 7
16,7,3,Jaipur Pink Panthers,26.75,Team Avg Points Scored,Season 7
15,8,8,Telugu Titans,26.53,Team Avg Points Scored,Season 7
15,9,5,U Mumba,26.26,Team Avg Points Scored,Season 7
16,10,29,Tamil Thalaivas,26.0,Team Avg Points Scored,Season 7
15,11,30,U.P. Yoddha,25.66,Team Avg Points Scored,Season 7
16,12,31,Gujarat Fortunegiants,25.31,Team Avg Points Scored,Season 7
16,1,2,Dabang Delhi K.C.,276.0,Team Successful Raids,Season 7
16,2,4,Bengal Warriors,256.0,Team Successful Raids,Season 7
16,2,1,Bengaluru Bulls,256.0,Team Successful Raids,Season 7
16,4,6,Patna Pirates,233.0,Team Successful Raids,Season 7
16,5,7,Puneri Paltan,220.0,Team Successful Raids,Season 7
15,6,28,Haryana Steelers,219.0,Team Successful Raids,Season 7
16,7,29,Tamil Thalaivas,218.0,Team Successful Raids,Season 7
15,8,8,Telugu Titans,208.0,Team Successful Raids,Season 7
16,9,31,Gujarat Fortunegiants,207.0,Team Successful Raids,Season 7
16,10,3,Jaipur Pink Panthers,197.0,Team Successful Raids,Season 7
15,11,5,U Mumba,192.0,Team Successful Raids,Season 7
15,12,30,U.P. Yoddha,179.0,Team Successful Raids,Season 7
16,1,2,Dabang Delhi K.C.,329.0,Team Raid Points,Season 7
16,2,1,Bengaluru Bulls,322.0,Team Raid Points,Season 7
16,3,4,Bengal Warriors,318.0,Team Raid Points,Season 7
16,4,6,Patna Pirates,285.0,Team Raid Points,Season 7
15,5,28,Haryana Steelers,283.0,Team Raid Points,Season 7
16,6,29,Tamil Thalaivas,275.0,Team Raid Points,Season 7
16,7,7,Puneri Paltan,271.0,Team Raid Points,Season 7
16,8,3,Jaipur Pink Panthers,253.0,Team Raid Points,Season 7
16,9,31,Gujarat Fortunegiants,251.0,Team Raid Points,Season 7
15,10,5,U Mumba,246.0,Team Raid Points,Season 7
15,11,8,Telugu Titans,243.0,Team Raid Points,Season 7
15,12,30,U.P. Yoddha,228.0,Team Raid Points,Season 7
16,1,2,Dabang Delhi K.C.,20.56,Team Average Raid Points,Season 7
16,2,1,Bengaluru Bulls,20.13,Team Average Raid Points,Season 7
16,3,4,Bengal Warriors,19.88,Team Average Raid Points,Season 7
15,4,28,Haryana Steelers,18.87,Team Average Raid Points,Season 7
16,5,6,Patna Pirates,17.81,Team Average Raid Points,Season 7
16,6,29,Tamil Thalaivas,17.19,Team Average Raid Points,Season 7
16,7,7,Puneri Paltan,16.94,Team Average Raid Points,Season 7
15,8,5,U Mumba,16.4,Team Average Raid Points,Season 7
15,9,8,Telugu Titans,16.2,Team Average Raid Points,Season 7
16,10,3,Jaipur Pink Panthers,15.81,Team Average Raid Points,Season 7
16,11,31,Gujarat Fortunegiants,15.69,Team Average Raid Points,Season 7
15,12,30,U.P. Yoddha,15.2,Team Average Raid Points,Season 7
16,1,7,Puneri Paltan,164.0,Team Successful Tackles,Season 7
15,2,28,Haryana Steelers,152.0,Team Successful Tackles,Season 7
16,3,3,Jaipur Pink Panthers,150.0,Team Successful Tackles,Season 7
16,3,6,Patna Pirates,150.0,Team Successful Tackles,Season 7
15,5,30,U.P. Yoddha,147.0,Team Successful Tackles,Season 7
16,6,4,Bengal Warriors,145.0,Team Successful Tackles,Season 7
16,7,2,Dabang Delhi K.C.,143.0,Team Successful Tackles,Season 7
16,8,1,Bengaluru Bulls,141.0,Team Successful Tackles,Season 7
16,9,31,Gujarat Fortunegiants,140.0,Team Successful Tackles,Season 7
15,10,5,U Mumba,135.0,Team Successful Tackles,Season 7
15,10,8,Telugu Titans,135.0,Team Successful Tackles,Season 7
16,12,29,Tamil Thalaivas,131.0,Team Successful Tackles,Season 7
16,1,7,Puneri Paltan,183.0,Team Tackle Points,Season 7
16,2,3,Jaipur Pink Panthers,175.0,Team Tackle Points,Season 7
16,3,6,Patna Pirates,172.0,Team Tackle Points,Season 7
16,4,1,Bengaluru Bulls,164.0,Team Tackle Points,Season 7
15,5,28,Haryana Steelers,163.0,Team Tackle Points,Season 7
15,6,30,U.P. Yoddha,157.0,Team Tackle Points,Season 7
15,7,8,Telugu Titans,155.0,Team Tackle Points,Season 7
16,7,4,Bengal Warriors,155.0,Team Tackle Points,Season 7
16,9,31,Gujarat Fortunegiants,154.0,Team Tackle Points,Season 7
15,10,5,U Mumba,148.0,Team Tackle Points,Season 7
16,10,2,Dabang Delhi K.C.,148.0,Team Tackle Points,Season 7
16,12,29,Tamil Thalaivas,141.0,Team Tackle Points,Season 7
16,1,7,Puneri Paltan,11.44,Team Average Tackle Points,Season 7
16,2,3,Jaipur Pink Panthers,10.94,Team Average Tackle Points,Season 7
15,3,28,Haryana Steelers,10.87,Team Average Tackle Points,Season 7
16,4,6,Patna Pirates,10.75,Team Average Tackle Points,Season 7
15,5,30,U.P. Yoddha,10.47,Team Average Tackle Points,Season 7
15,6,8,Telugu Titans,10.33,Team Average Tackle Points,Season 7
16,7,1,Bengaluru Bulls,10.25,Team Average Tackle Points,Season 7
15,8,5,U Mumba,9.87,Team Average Tackle Points,Season 7
16,9,4,Bengal Warriors,9.69,Team Average Tackle Points,Season 7
16,10,31,Gujarat Fortunegiants,9.63,Team Average Tackle Points,Season 7
16,11,2,Dabang Delhi K.C.,9.25,Team Average Tackle Points,Season 7
16,12,29,Tamil Thalaivas,8.81,Team Average Tackle Points,Season 7
16,1,4,Bengal Warriors,12.0,Team Super Raid,Season 7
15,2,28,Haryana Steelers,11.0,Team Super Raid,Season 7
16,3,6,Patna Pirates,9.0,Team Super Raid,Season 7
16,4,2,Dabang Delhi K.C.,7.0,Team Super Raid,Season 7
16,5,3,Jaipur Pink Panthers,6.0,Team Super Raid,Season 7
15,5,5,U Mumba,6.0,Team Super Raid,Season 7
16,5,1,Bengaluru Bulls,6.0,Team Super Raid,Season 7
16,8,31,Gujarat Fortunegiants,4.0,Team Super Raid,Season 7
16,8,7,Puneri Paltan,4.0,Team Super Raid,Season 7
15,8,8,Telugu Titans,4.0,Team Super Raid,Season 7
16,8,29,Tamil Thalaivas,4.0,Team Super Raid,Season 7
15,12,30,U.P. Yoddha,2.0,Team Super Raid,Season 7
16,1,3,Jaipur Pink Panthers,26.0,Team Super Tackles,Season 7
16,2,1,Bengaluru Bulls,25.0,Team Super Tackles,Season 7
16,3,6,Patna Pirates,22.0,Team Super Tackles,Season 7
15,4,8,Telugu Titans,21.0,Team Super Tackles,Season 7
16,5,7,Puneri Paltan,19.0,Team Super Tackles,Season 7
15,6,5,U Mumba,15.0,Team Super Tackles,Season 7
16,6,31,Gujarat Fortunegiants,15.0,Team Super Tackles,Season 7
16,8,29,Tamil Thalaivas,12.0,Team Super Tackles,Season 7
16,8,4,Bengal Warriors,12.0,Team Super Tackles,Season 7
15,10,28,Haryana Steelers,11.0,Team Super Tackles,Season 7
15,10,30,U.P. Yoddha,11.0,Team Super Tackles,Season 7
16,12,2,Dabang Delhi K.C.,7.0,Team Super Tackles,Season 7
16,1,3,Jaipur Pink Panthers,63.0,Team DOD Raid Points,Season 7
16,2,6,Patna Pirates,58.0,Team DOD Raid Points,Season 7
15,3,5,U Mumba,55.0,Team DOD Raid Points,Season 7
15,4,30,U.P. Yoddha,54.0,Team DOD Raid Points,Season 7
16,5,7,Puneri Paltan,52.0,Team DOD Raid Points,Season 7
15,6,28,Haryana Steelers,51.0,Team DOD Raid Points,Season 7
16,7,31,Gujarat Fortunegiants,47.0,Team DOD Raid Points,Season 7
16,8,4,Bengal Warriors,46.0,Team DOD Raid Points,Season 7
16,9,29,Tamil Thalaivas,45.0,Team DOD Raid Points,Season 7
16,10,2,Dabang Delhi K.C.,41.0,Team DOD Raid Points,Season 7
16,11,1,Bengaluru Bulls,35.0,Team DOD Raid Points,Season 7
15,12,8,Telugu Titans,33.0,Team DOD Raid Points,Season 7
16,1,2,Dabang Delhi K.C.,26.0,Team All-outs Inflicted,Season 7
16,2,4,Bengal Warriors,24.0,Team All-outs Inflicted,Season 7
16,2,6,Patna Pirates,24.0,Team All-outs Inflicted,Season 7
15,4,28,Haryana Steelers,21.0,Team All-outs Inflicted,Season 7
15,5,5,U Mumba,20.0,Team All-outs Inflicted,Season 7
16,6,1,Bengaluru Bulls,17.0,Team All-outs Inflicted,Season 7
15,7,30,U.P. Yoddha,16.0,Team All-outs Inflicted,Season 7
16,8,31,Gujarat Fortunegiants,15.0,Team All-outs Inflicted,Season 7
16,8,3,Jaipur Pink Panthers,15.0,Team All-outs Inflicted,Season 7
16,10,7,Puneri Paltan,13.0,Team All-outs Inflicted,Season 7
16,11,29,Tamil Thalaivas,11.0,Team All-outs Inflicted,Season 7
15,12,8,Telugu Titans,7.0,Team All-outs Inflicted,Season 7
16,1,7,Puneri Paltan,25.0,Team All-outs Conceded,Season 7
16,2,29,Tamil Thalaivas,21.0,Team All-outs Conceded,Season 7
16,3,1,Bengaluru Bulls,19.0,Team All-outs Conceded,Season 7
15,4,8,Telugu Titans,18.0,Team All-outs Conceded,Season 7
15,4,30,U.P. Yoddha,18.0,Team All-outs Conceded,Season 7
16,4,31,Gujarat Fortunegiants,18.0,Team All-outs Conceded,Season 7
16,7,6,Patna Pirates,17.0,Team All-outs Conceded,Season 7
15,8,5,U Mumba,16.0,Team All-outs Conceded,Season 7
15,8,28,Haryana Steelers,16.0,Team All-outs Conceded,Season 7
16,8,3,Jaipur Pink Panthers,16.0,Team All-outs Conceded,Season 7
16,11,4,Bengal Warriors,13.0,Team All-outs Conceded,Season 7
16,12,2,Dabang Delhi K.C.,12.0,Team All-outs Conceded,Season 7
24,1,1,Bengaluru Bulls,887.0,Team Total Points,Season 6
25,2,31,Gujarat Fortunegiants,876.0,Team Total Points,Season 6
23,3,5,U Mumba,856.0,Team Total Points,Season 6
24,4,2,Dabang Delhi K.C.,822.0,Team Total Points,Season 6
25,5,30,U.P. Yoddha,812.0,Team Total Points,Season 6
22,6,6,Patna Pirates,799.0,Team Total Points,Season 6
23,7,4,Bengal Warriors,725.0,Team Total Points,Season 6
22,8,28,Haryana Steelers,715.0,Team Total Points,Season 6
22,9,3,Jaipur Pink Panthers,711.0,Team Total Points,Season 6
22,10,29,Tamil Thalaivas,671.0,Team Total Points,Season 6
22,11,7,Puneri Paltan,649.0,Team Total Points,Season 6
22,12,8,Telugu Titans,647.0,Team Total Points,Season 6
25,1,30,U.P. Yoddha,847.0,Team Total Points Conceded,Season 6
22,2,6,Patna Pirates,835.0,Team Total Points Conceded,Season 6
24,3,2,Dabang Delhi K.C.,824.0,Team Total Points Conceded,Season 6
22,4,28,Haryana Steelers,806.0,Team Total Points Conceded,Season 6
22,5,3,Jaipur Pink Panthers,780.0,Team Total Points Conceded,Season 6
25,6,31,Gujarat Fortunegiants,769.0,Team Total Points Conceded,Season 6
24,7,1,Bengaluru Bulls,766.0,Team Total Points Conceded,Season 6
22,8,29,Tamil Thalaivas,741.0,Team Total Points Conceded,Season 6
23,9,4,Bengal Warriors,734.0,Team Total Points Conceded,Season 6
22,10,8,Telugu Titans,702.0,Team Total Points Conceded,Season 6
22,11,7,Puneri Paltan,694.0,Team Total Points Conceded,Season 6
23,12,5,U Mumba,672.0,Team Total Points Conceded,Season 6
23,1,5,U Mumba,32.52,Team Avg Points Scored,Season 6
24,2,1,Bengaluru Bulls,32.37,Team Avg Points Scored,Season 6
22,3,6,Patna Pirates,31.68,Team Avg Points Scored,Season 6
25,4,31,Gujarat Fortunegiants,30.16,Team Avg Points Scored,Season 6
24,5,2,Dabang Delhi K.C.,29.12,Team Avg Points Scored,Season 6
22,6,3,Jaipur Pink Panthers,29.09,Team Avg Points Scored,Season 6
22,6,28,Haryana Steelers,29.09,Team Avg Points Scored,Season 6
25,8,30,U.P. Yoddha,28.56,Team Avg Points Scored,Season 6
23,9,4,Bengal Warriors,27.65,Team Avg Points Scored,Season 6
22,10,29,Tamil Thalaivas,27.63,Team Avg Points Scored,Season 6
22,11,8,Telugu Titans,26.63,Team Avg Points Scored,Season 6
22,12,7,Puneri Paltan,25.68,Team Avg Points Scored,Season 6
24,1,1,Bengaluru Bulls,431.0,Team Successful Raids,Season 6
22,2,6,Patna Pirates,406.0,Team Successful Raids,Season 6
24,3,2,Dabang Delhi K.C.,401.0,Team Successful Raids,Season 6
25,4,31,Gujarat Fortunegiants,392.0,Team Successful Raids,Season 6
23,5,5,U Mumba,372.0,Team Successful Raids,Season 6
22,6,28,Haryana Steelers,361.0,Team Successful Raids,Season 6
25,7,30,U.P. Yoddha,357.0,Team Successful Raids,Season 6
22,8,29,Tamil Thalaivas,344.0,Team Successful Raids,Season 6
23,9,4,Bengal Warriors,340.0,Team Successful Raids,Season 6
22,10,3,Jaipur Pink Panthers,334.0,Team Successful Raids,Season 6
22,11,8,Telugu Titans,289.0,Team Successful Raids,Season 6
22,12,7,Puneri Paltan,286.0,Team Successful Raids,Season 6
24,1,1,Bengaluru Bulls,547.0,Team Raid Points,Season 6
22,2,6,Patna Pirates,496.0,Team Raid Points,Season 6
24,3,2,Dabang Delhi K.C.,483.0,Team Raid Points,Season 6
25,4,31,Gujarat Fortunegiants,480.0,Team Raid Points,Season 6
23,5,5,U Mumba,459.0,Team Raid Points,Season 6
25,6,30,U.P. Yoddha,449.0,Team Raid Points,Season 6
22,7,28,Haryana Steelers,447.0,Team Raid Points,Season 6
23,8,4,Bengal Warriors,436.0,Team Raid Points,Season 6
22,9,29,Tamil Thalaivas,419.0,Team Raid Points,Season 6
22,10,3,Jaipur Pink Panthers,415.0,Team Raid Points,Season 6
22,11,8,Telugu Titans,353.0,Team Raid Points,Season 6
