Goal,Team A,Team B,Winner
27-25,Pune,Bengaluru,Pune
31-36,Pune,Tamil Nadu,Tamil Nadu
23-29,Pune,UP,UP
25-28,Pune,Hyderabad,Hyderabad
22-26,Pune,Bengal,Bengal
30-30,Jaipur,Pune,tie
33-35,Haryana,Pune,Pune
53-36,Patna,Pune,Patna
36-23,Jaipur,Pune,Jaipur
35-20,Pune,Hyderabad,Pune
33-36,Haryana,Jaipur,Jaipur
41-30,Patna,Jaipur,Patna
28-39,Jaipur,Bengal,Bengal
38-32,Jaipur,Haryana,Jaipur
45-28,Jaipur,UP,Jaipur
32-45,Jaipur,Bengaluru,Bengaluru
36-26,Hyderabad,Jaipur,Hyderabad
24-37,Tamil Nadu,Jaipur,Jaipur
39-30,Jaipur,Haryana,Jaipur
32-40,Jaipur,Bengaluru,Bengaluru
42-34,Bengaluru,Haryana,Bengaluru
32-43,Patna,Haryana,Haryana
32-32,Tamil Nadu,Haryana,tie
35-33,Haryana,Bengal,Haryana
30-29,UP,Haryana,UP
35-31,Hyderabad,Haryana,Hyderabad
40-40,Haryana,Tamil Nadu,tie
37-48,Tamil Nadu,Bengaluru,Bengaluru
44-35,Bengaluru,Tamil Nadu,Bengaluru
41-43,Patna,Bengaluru,Bengaluru
29-35,UP,Bengaluru,Bengaluru
27-37,UP,Bengaluru,Bengaluru
31-33,Bengaluru,Bengal,Bengal
36-22,Bengaluru,Tamil Nadu,Bengaluru
32-35,Bengaluru,Patna,Patna
37-27,Bengaluru,UP,Bengaluru
34-26,Bengaluru,Hyderabad,Bengaluru
37-44,Bengaluru,Bengal,Bengal
24-37,Hyderabad,Bengaluru,Bengaluru
44-28,Bengaluru,Hyderabad,Bengaluru
40-40,Patna,Bengaluru,tie
37-31,Bengal,Bengaluru,Bengal
27-36,Tamil Nadu,Bengal,Bengal
30-25,Bengal,Hyderabad,Bengal
40-40,UP,Bengal,tie
29-27,Patna,Bengal,Patna
30-30,UP,Bengal,tie
30-25,Bengal,Hyderabad,Bengal
50-30,Patna,Bengal,Patna
28-21,Bengal,Tamil Nadu,Bengal
27-24,Bengal,Tamil Nadu,Bengal
39-23,Bengal,Patna,Bengal
39-34,Bengal,Hyderabad,Bengal
25-41,Bengal,UP,UP
32-37,Tamil Nadu,UP,UP
41-43,UP,Patna,Patna
34-29,Hyderabad,UP,Hyderabad
43-37,Patna,UP,Patna
24-46,UP,Tamil Nadu,Tamil Nadu
26-26,UP,Hyderabad,tie
20-27,Hyderabad,UP,UP
25-25,UP,Tamil Nadu,tie
31-47,Patna,UP,UP
42-26,Tamil Nadu,Patna,Tamil Nadu
31-35,Patna,Hyderabad,Hyderabad
32-53,Patna,Hyderabad,Hyderabad
45-27,Patna,Tamil Nadu,Patna
35-35,Tamil Nadu,Patna,tie
41-36,Hyderabad,Patna,Hyderabad
28-33,Tamil Nadu,Hyderabad,Hyderabad
27-23,Tamil Nadu,Hyderabad,Tamil Nadu
31-25,Tamil Nadu,Hyderabad,Tamil Nadu
